model_id,provider,open,url,release_date,size,input_cost,output_cost,display_name,is_reasoning,is_vision
gpt-5-2025-08-07-medium,OpenAI,False,https://platform.openai.com/docs/models/gpt-5,08/2025,,1.25,10.0,GPT-5 (Medium),True,True
gpt-5-mini-2025-08-07-medium,OpenAI,False,https://platform.openai.com/docs/models/gpt-5-mini,08/2025,,0.25,2.0,GPT-5 Mini (Medium),True,True
gpt-5-nano-2025-08-07-medium,OpenAI,False,https://platform.openai.com/docs/models/gpt-5-nano,08/2025,,0.05,0.4,GPT-5 Nano (Medium),True,True
gpt-5-2025-08-07-high,OpenAI,False,https://platform.openai.com/docs/models/gpt-5,08/2025,,1.25,10.0,GPT-5 (High),True,True
gpt-5-mini-2025-08-07-high,OpenAI,False,https://platform.openai.com/docs/models/gpt-5-mini,08/2025,,0.25,2.0,GPT-5 Mini (High),True,True
gpt-5-nano-2025-08-07-high,OpenAI,False,https://platform.openai.com/docs/models/gpt-5-nano,08/2025,,0.05,0.4,GPT-5 Nano (High),True,True
gpt-5-2025-08-07-minimal,OpenAI,False,https://platform.openai.com/docs/models/gpt-5,08/2025,,1.25,10.0,GPT-5 (Minimal),True,True
gpt-5-mini-2025-08-07-minimal,OpenAI,False,https://platform.openai.com/docs/models/gpt-5-mini,08/2025,,0.25,2.0,GPT-5 Mini (Minimal),True,True
gpt-5-nano-2025-08-07-minimal,OpenAI,False,https://platform.openai.com/docs/models/gpt-5-nano,08/2025,,0.05,0.4,GPT-5 Nano (Minimal),True,True
gpt-5.1-2025-11-13-medium,OpenAI,False,https://platform.openai.com/docs/models/gpt-5.1,11/2025,,1.25,10.0,GPT-5.1 (Medium),True,True
gpt-5.1-2025-11-13-high,OpenAI,False,https://platform.openai.com/docs/models/gpt-5.1,11/2025,,1.25,10.0,GPT-5.1 (High),True,True
gpt-5.1-2025-11-13-low,OpenAI,False,https://platform.openai.com/docs/models/gpt-5.1,11/2025,,1.25,10.0,GPT-5.1 (Low),True,True
gpt-5.1-2025-11-13-none,OpenAI,False,https://platform.openai.com/docs/models/gpt-5.1,11/2025,,1.25,10.0,GPT-5.1 (None),True,True
gpt-5.2-2025-12-11-none,OpenAI,False,https://platform.openai.com/docs/models/gpt-5.2,12/2025,,1.75,14.0,GPT-5.2 (None),True,True
gpt-5.2-2025-12-11-low,OpenAI,False,https://platform.openai.com/docs/models/gpt-5.2,12/2025,,1.75,14.0,GPT-5.2 (Low),True,True
gpt-5.2-2025-12-11-medium,OpenAI,False,https://platform.openai.com/docs/models/gpt-5.2,12/2025,,1.75,14.0,GPT-5.2 (Medium),True,True
gpt-5.2-2025-12-11-high,OpenAI,False,https://platform.openai.com/docs/models/gpt-5.2,12/2025,,1.75,14.0,GPT-5.2 (High),True,True
gpt-5.2-2025-12-11-xhigh,OpenAI,False,https://platform.openai.com/docs/models/gpt-5.2,12/2025,,1.75,14.0,GPT-5.2 (xHigh),True,True
fw-llama-v3p1-405b-instruct,Meta,True,https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct,07/2024,405000000000.0,3.0,,Llama-3.1 405B,False,False
fw-llama-v3p2-1b-instruct,Meta,True,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct,09/2024,1000000000.0,0.1,,Llama-3.2 1B,False,False
fw-llama-v3p2-3b-instruct,Meta,True,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct,09/2024,3000000000.0,0.1,,Llama-3.2 3B,False,False
fw-llama-v3p2-11b-vision-instruct,Meta,True,https://huggingface.co/meta-llama/Llama-3.2-11B-Vision-Instruct,09/2024,11000000000.0,0.2,,Llama-3.2 11B,False,True
fw-llama-v3p2-90b-vision-instruct,Meta,True,https://huggingface.co/meta-llama/Llama-3.2-90B-Vision-Instruct,09/2024,90000000000.0,0.9,,Llama-3.2 90B,False,True
fw-llama-v3p1-8b-instruct,Meta,True,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,07/2024,8000000000.0,0.2,,Llama-3.1 8B,False,False
fw-llama-v3p1-70b-instruct,Meta,True,https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,07/2024,70000000000.0,0.9,,Llama-3.1 70B,False,False
fw-llama-v3p3-70b-instruct,Meta,True,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,12/2024,70000000000.0,0.9,,Llama-3.3 70B,False,False
llama-4-maverick-instruct-basic,Meta,True,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct,04/2025,402000000000.0,0.2,0.8,Llama-4 Maverick,False,True
llama-4-scout-instruct-basic,Meta,True,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct,04/2025,109000000000.0,0.15,0.6,Llama-4 Scout,False,True
llama-v3p2-1b-instruct-bf16,Meta,True,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct,09/2024,1000000000.0,0.005,0.01,Llama-3.2 1B,False,False
llama-v3p2-3b-instruct-bf16,Meta,True,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct,09/2024,3000000000.0,0.01,0.02,Llama-3.2 3B,False,False
claude-3-opus-20240229,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models#model-comparison-table,02/2024,,15.0,75.0,Claude-3 Opus,False,False
claude-3-haiku-20240307,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models#model-comparison-table,03/2024,,0.25,1.25,Claude-3 Haiku,False,False
claude-3-5-haiku-20241022,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models#model-comparison-table,10/2024,,1.0,5.0,Claude-3.5 Haiku,False,True
claude-3-5-sonnet-20240620,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models#model-comparison-table,06/2024,,3.0,15.0,Claude-3.5 Sonnet June,False,True
claude-3-5-sonnet-20241022,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models#model-comparison-table,10/2024,,3.0,15.0,Claude-3.5 Sonnet October,False,True
claude-3-7-sonnet-20250219,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models/all-models#model-comparison-table,02/2025,,3.0,15.0,Claude-3.7 Sonnet,False,False
claude-3-7-sonnet-20250219-thinking-low,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models/all-models#model-comparison-table,02/2025,,3.0,15.0,Claude-3.7 Sonnet Thinking (low),True,False
claude-3-7-sonnet-20250219-thinking-high,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models/all-models#model-comparison-table,02/2025,,3.0,15.0,Claude-3.7 Sonnet Thinking (high),True,False
claude-3-7-sonnet-20250219-thinking-medium,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models/all-models#model-comparison-table,02/2025,,3.0,15.0,Claude-3.7 Sonnet Thinking (medium),True,False
claude-opus-4-20250514,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models/overview#model-comparison-table,05/2025,,15.0,75.0,Claude Opus 4,False,True
claude-sonnet-4-20250514,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models/overview#model-comparison-table,05/2025,,3.0,15.0,Claude Sonnet 4,False,True
claude-opus-4-20250514-low,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models/overview#model-comparison-table,05/2025,,15.0,75.0,Claude Opus 4 Thinking (low),True,True
claude-sonnet-4-20250514-low,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models/overview#model-comparison-table,05/2025,,3.0,15.0,Claude Sonnet 4 Thinking (low),True,True
claude-sonnet-4-5-20250929,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models/overview#model-comparison-table,09/2025,,3.0,15.0,Claude Sonnet 4.5,False,True
claude-sonnet-4-5-20250929-low,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models/overview#model-comparison-table,09/2025,,3.0,15.0,Claude Sonnet 4.5 Thinking (low),True,True
claude-sonnet-4-5-20250929-medium,Anthropic,False,https://docs.anthropic.com/en/docs/about-claude/models/overview#model-comparison-table,09/2025,,3.0,15.0,Claude Sonnet 4.5 Thinking,True,True
claude-haiku-4-5-20251001,Anthropic,False,https://docs.claude.com/en/docs/about-claude/models/overview#model-comparison-table,10/2025,,1.0,5.0,Claude Haiku 4.5,False,True
claude-opus-4-5-20251101,Anthropic,False,https://docs.claude.com/en/docs/about-claude/models/overview#model-comparison-table,11/2025,,5.0,25.0,Claude Opus 4.5,False,True
gemini-1.5-flash-001,Google,False,https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.5-flash,05/2024,,0.075,0.3,Gemini-1.5 Flash,False,True
gemini-1.5-pro-001,Google,False,https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.5-pro,05/2024,,1.25,5.0,Gemini-1.5 Pro,False,True
fw-gemma2-9b-it,Google,True,https://huggingface.co/google/gemma-2-9b-it,08/2024,9000000000.0,0.2,,Gemma-2 9B,False,False
gemma-2-27b-it,Google,True,https://huggingface.co/google/gemma-2-27b-it,08/2024,27000000000.0,0.27,,Gemma-2 27B,False,False
learnlm-1.5-pro-experimental,Google,False,https://ai.google.dev/gemini-api/docs/learnlm,11/2024,,,,LearnLM 1.5 Pro,False,True
gemini-1.5-flash-8b,Google,False,https://ai.google.dev/gemini-api/docs/models/gemini#gemini-1.5-flash-8b,08/2024,,0.0375,0.15,Gemini-1.5 Flash 8B,False,True
gemini-2.0-flash,Google,False,https://ai.google.dev/gemini-api/docs/models/gemini#gemini-2.0-flash,02/2025,,0.1,0.4,Gemini-2.0 Flash,False,True
gemini-2.0-pro-exp,Google,False,https://ai.google.dev/gemini-api/docs/models/experimental-models#available-models,02/2025,,,,Gemini-2.0 Pro Exp,False,True
gemini-2.0-flash-lite,Google,False,https://ai.google.dev/gemini-api/docs/models/gemini#gemini-2.0-flash-lite,02/2025,,0.075,0.3,Gemini-2.0 Flash-Lite,False,True
gemini-2.0-flash-thinking-exp-01-21,Google,False,https://ai.google.dev/gemini-api/docs/thinking,01/2025,,,,Gemini-2.0 Flash Thinking,True,True
gemini-2.5-pro-exp-03-25,Google,False,https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-exp-03-25,03/2025,,1.25,10,Gemini-2.5 Pro Preview (March '25),True,True
gemma-3-27b-it,Google,True,https://huggingface.co/google/gemma-3-27b-it,03/2025,27000000000.0,0.3,0.5,Gemma-3 27B,False,True
gemma-3-27b,Google,True,https://huggingface.co/google/gemma-3-27b-it,03/2025,27000000000.0,0.3,0.5,Gemma-3 27B,False,True
gemma-3-12b-it,Google,True,https://huggingface.co/google/gemma-3-12b-it,03/2025,12000000000.0,0.05,0.1,Gemma-3 12B,False,True
gemma-3-4b-it,Google,True,https://huggingface.co/google/gemma-3-4b-it,03/2025,4000000000.0,0.02,0.04,Gemma-3 4B,False,True
gemini-2.5-flash-preview-04-17,Google,False,https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview,04/2025,,0.15,0.60,Gemini-2.5 Flash Preview (April '25),True,True
gemini-2.5-pro-preview-05-06,Google,False,https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro,05/2025,,1.25,10.0,Gemini-2.5 Pro Preview (May '25),True,True
gemini-2.5-pro-preview-06-05,Google,False,https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro,06/2025,,1.25,10.0,Gemini-2.5 Pro,True,True
gemini-2.5-flash-preview-05-20,Google,False,https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash,05/2025,,0.30,2.50,Gemini-2.5 Flash,True,True
gemma-3n-e4b-it,Google,True,https://huggingface.co/google/gemma-3n-E4B-it,05/2025,4000000000.0,,,Gemma-3n E4B,False,True
gemini-2.5-flash-lite-preview-06-17,Google,False,https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite,06/2025,,0.10,0.40,Gemini-2.5 Flash-Lite Preview,True,True
gemma-3n-e2b-it,Google,True,https://huggingface.co/google/gemma-3n-E2B-it,06/2025,2000000000.0,,,Gemma-3n E2B,False,True
gemma-3-1b-it,Google,True,https://huggingface.co/google/gemma-3-1b-it,03/2025,1000000000.0,,,Gemma-3 1B,False,False
gemini-2.5-flash-preview-09-2025,Google,False,https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash,09/2025,,0.30,2.50,Gemini-2.5 Flash,True,True
gemini-2.5-flash-lite-preview-09-2025,Google,False,https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite,09/2025,,0.10,0.40,Gemini-2.5 Flash-Lite,True,True
gemini-3-pro-preview,Google,False,https://ai.google.dev/gemini-api/docs/models#gemini-3-pro,11/2025,,2.0,12.0,Gemini-3 Pro,True,True
gemini-3-flash-preview,Google,False,https://ai.google.dev/gemini-api/docs/models#gemini-3-flash,12/2025,,0.5,3.0,Gemini-3 Flash,True,True
fw-yi-large,01.AI,False,https://www.01.ai/,06/2024,,3.0,,Yi-Large,False,False
yi-lightning,01.AI,False,https://www.01.ai/,10/2024,,0.14,,Yi Lightning,False,False
fw-mixtral-8x7b-instruct,Mistral,True,https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1,12/2023,56000000000.0,0.5,,Mixtral-8x7B,False,False
fw-mixtral-8x22b-instruct,Mistral,True,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1,04/2024,141000000000.0,1.2,,Mixtral-8x22B,False,False
fw-mistral-nemo-instruct-2407,Mistral,True,https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407,07/2024,12000000000.0,0.15,,Mistral Nemo,False,False
mistral-large-2411,Mistral,True,https://huggingface.co/mistralai/Mistral-Large-Instruct-2411,11/2024,123000000000.0,2.0,6.0,Mistral Large November,False,False
ministral-8b,Mistral,True,https://huggingface.co/mistralai/Ministral-8B-Instruct-2410,10/2024,8000000000.0,0.1,0.1,Ministral 8B,False,False
ministral-3b,Mistral,True,https://huggingface.co/ministral/Ministral-3b-instruct,10/2024,3000000000.0,0.04,0.04,Ministral 3B,False,False
fw-mistral-small-3-instruct,Mistral,True,https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501,01/2025,24000000000.0,0.1,0.3,Mistral Small 3 24B,False,False
pixtral-large-2411,Mistral,True,https://huggingface.co/mistralai/Pixtral-Large-Instruct-2411,11/2024,124000000000.0,2.0,6.0,Pixtral Large,False,True
mistral-small-3.1-24b-instruct-2503,Mistral,True,https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503,03/2025,24000000000.0,0.1,0.3,Mistral Small 3.1 24B,False,False
mistral-small-3-1-24b,Mistral,True,https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503,03/2025,24000000000.0,0.1,0.3,Mistral Small 3.1 24B,False,False
mistral-medium-3,Mistral,False,https://docs.mistral.ai/models/mistral-medium-3-25-05,05/2025,,0.4,2.0,Mistral Medium 3,False,False
mistral-nemo-instruct-2407-fp8,Mistral,True,https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407,07/2024,12000000000.0,0.01,0.027,Mistral Nemo,False,False
mistral-small-24b-instruct-2501-fp8,Mistral,True,https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501,01/2025,24000000000.0,0.05,0.10,Mistral Small 3,False,False
magistral-small-2506,Mistral,True,https://huggingface.co/mistralai/Magistral-Small-2506,06/2025,24000000000.0,0.5,1.5,Magistral Small,True,False
magistral-medium-2506,Mistral,False,https://mistral.ai/news/magistral,06/2025,,2.0,5.0,Magistral Medium,True,False
mistral-small-3p2-24b-instruct,Mistral,True,https://huggingface.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506,06/2025,24000000000.0,0.1,0.3,Mistral Small 3.2,False,False
mistral-medium-3.1,Mistral,False,https://docs.mistral.ai/models/mistral-medium-3-1-25-08,08/2025,,0.4,2.0,Mistral Medium 3.1,False,False
mistral-large-3-2512,Mistral,False,https://docs.mistral.ai/models/mistral-large-3-25-12,12/2025,,0.5,1.5,Mistral Large 3,False,False
ministral-3-14b-2512,Mistral,True,https://huggingface.co/mistralai/Ministral-3-14B-Instruct-2512,12/2025,14000000000.0,0.2,0.2,Ministral 3 14B,False,False
ministral-3-8b-2512,Mistral,True,https://huggingface.co/mistralai/Ministral-3-8B-Instruct-2512,12/2025,8000000000.0,0.15,0.15,Ministral 3 8B,False,False
ministral-3-3b-2512,Mistral,True,https://huggingface.co/mistralai/Ministral-3-3B-Instruct-2512,12/2025,3000000000.0,0.1,0.1,Ministral 3 3B,False,False
fw-qwen2p5-72b-instruct,Alibaba,True,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,09/2024,72000000000.0,0.9,,Qwen-2.5 72B,False,False
fw-qwen2p5-7b-instruct,Alibaba,True,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,09/2024,7000000000.0,0.2,,Qwen-2.5 7B,False,False
fw-qwen2p5-14b-instruct,Alibaba,True,https://huggingface.co/Qwen/Qwen2.5-14B-Instruct,09/2024,14000000000.0,0.2,,Qwen-2.5 14B,False,False
fw-qwen2p5-32b-instruct,Alibaba,True,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,09/2024,32000000000.0,0.9,,Qwen-2.5 32B,False,False
qwen2.5-vl-72b-instruct,Alibaba,True,https://huggingface.co/Qwen/Qwen2.5-VL-72B-Instruct,02/2025,72000000000.0,0.7,,Qwen-2.5 VL 72B,False,True
qwen-qvq-72b-preview,Alibaba,True,https://huggingface.co/Qwen/QVQ-72B-Preview,03/2025,32000000000.0,0.9,,Qwen QVQ 72B,True,True
qwen-qwq-32b,Alibaba,True,https://huggingface.co/Qwen/QwQ-32B,03/2025,32800000000.0,0.15,0.2,Qwen QwQ-32B,True,False
qwen-3-30b-a3b,Alibaba,True,https://huggingface.co/Qwen/Qwen3-30B-A3B,04/2025,30000000000.0,0.1,0.3,Qwen-3 30B A3B,False,False
qwen-3-235b-a22b,Alibaba,True,https://huggingface.co/Qwen/Qwen3-235B-A22B,04/2025,235000000000.0,0.2,0.6,Qwen-3 235B A22B,False,False
qwen-3-14b,Alibaba,True,https://huggingface.co/Qwen/Qwen3-14B,04/2025,14000000000.0,0.07,0.24,Qwen-3 14B,False,False
qwen-3-32b,Alibaba,True,https://huggingface.co/Qwen/Qwen3-32B,04/2025,32000000000.0,0.1,0.3,Qwen-3 32B,False,False
qwen-3-8b-fp8,Alibaba,True,https://huggingface.co/Qwen/Qwen3-8B,04/2025,8000000000.0,0.035,0.138,Qwen-3 8B,False,False
qwen-2p5-7b-instruct-bf16,Alibaba,True,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,09/2024,7000000000.0,0.04,0.10,Qwen-2.5 7B,False,False
hf-qwen3-0-6b,Alibaba,True,https://huggingface.co/Qwen/Qwen3-0.6B,04/2025,600000000.0,,,Qwen-3 0.6B,False,False
hf-qwen3-1-7b,Alibaba,True,https://huggingface.co/Qwen/Qwen3-1.7B,04/2025,1700000000.0,,,Qwen-3 1.7B,False,False
hf-qwen3-4b,Alibaba,True,https://huggingface.co/Qwen/Qwen3-4B,04/2025,4000000000.0,,,Qwen-3 4B,False,False
qwen-3-235b-a22b-2507-bf16,Alibaba,True,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507,07/2025,235000000000.0,0.15,0.85,Qwen-3 235B A22B,False,False
qwen3-235b-a22b-thinking-2507,Alibaba,True,https://huggingface.co/Qwen/Qwen3-235B-A22B-Thinking-2507,07/2025,235000000000.0,0.22,0.88,Qwen-3 235B A22B Thinking,True,False
fw-qwen3-vl-30b-a3b-thinking,Alibaba,True,https://huggingface.co/Qwen/Qwen3-VL-30B-A3B-Thinking,10/2025,30000000000.0,0.15,0.60,Qwen3 VL 30B A3B Thinking,True,True
fw-phi-3-vision-128k-instruct,Microsoft,True,https://huggingface.co/microsoft/Phi-3.5-vision-instruct,08/2024,4200000000.0,0.2,,Phi-3.5 Vision,False,True
microsoft-phi-4-bf16,Microsoft,True,https://huggingface.co/microsoft/phi-4,12/2024,14000000000.0,0.07,0.14,Phi-4,False,False
phi-4-multimodal-instruct-bf16,Microsoft,True,https://huggingface.co/microsoft/Phi-4-multimodal-instruct,02/2025,5600000000.0,0.07,0.14,Phi-4 Multimodal,False,True
phi-35-mini,Microsoft,True,https://huggingface.co/microsoft/Phi-3.5-mini-instruct,08/2024,3800000000.0,0.1,0.1,Phi-3.5 Mini,False,False
fw-llama-3p1-nemotron-70b-instruct-hf,NVIDIA,True,https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Instruct,06/2024,70000000000.0,0.9,,Llama-3.1 Nemotron 70b,False,False
hunyuan-large,Tencent,True,https://huggingface.co/tencent/Tencent-Hunyuan-Large,11/2024,389000000000.0,0.55,1.66,Hunyuan Large,False,False
hunyuan-large-longcontext,Tencent,True,https://huggingface.co/tencent/Tencent-Hunyuan-Large,11/2024,389000000000.0,0.83,2.49,Hunyuan Large (Long Context),False,False
command-r-plus,Cohere,True,https://huggingface.co/CohereForAI/c4ai-command-r-plus,08/2024,104000000000.0,2.37,9.5,Command-R+ August,False,False
cohere-r7b-1224,Cohere,True,https://huggingface.co/CohereForAI/c4ai-command-r7b-12-2024,12/2024,7000000000.0,0.0375,0.15,Command R7B,False,False
amazon-nova-pro-v1,Amazon,False,https://aws.amazon.com/nova/models/,12/2024,,0.8,,Nova Pro,False,False
amazon-nova-lite-v1,Amazon,False,https://aws.amazon.com/nova/models/,12/2024,,0.06,,Nova Lite,False,False
amazon-nova-micro-v1,Amazon,False,https://aws.amazon.com/nova/models/,12/2024,,0.035,,Nova Micro,False,False
nova-2-lite-v1,Amazon,False,https://aws.amazon.com/nova/models/,12/2025,,0.3,2.5,Nova 2 Lite,False,False
jamba-1-5-large,AI21labs,True,https://huggingface.co/ai21labs/AI21-Jamba-1.5-Large,08/2024,399000000000.0,2.0,8.0,Jamba Large 1.5,False,False
jamba-1-5-mini,AI21labs,True,https://huggingface.co/ai21labs/AI21-Jamba-1.5-Mini,08/2024,52000000000.0,0.2,0.4,Jamba Mini 1.5,False,False
jamba-instruct,AI21labs,True,https://www.ai21.com/jamba,08/2024,,0.5,0.7,Jamba Instruct,False,False
jamba-1-6-large,AI21labs,True,https://huggingface.co/ai21labs/AI21-Jamba-Large-1.6,03/2025,399000000000.0,2.0,8.0,Jamba Large 1.6,False,False
jamba-1-6-mini,AI21labs,True,https://huggingface.co/ai21labs/AI21-Jamba-Mini-1.6,03/2025,52000000000.0,0.2,0.4,Jamba Mini 1.6,False,False
jamba-large-1.7,AI21labs,True,https://huggingface.co/ai21labs/AI21-Jamba-Large-1.7,07/2025,399000000000.0,2.0,8.0,Jamba Large 1.7,False,False
jamba-mini-1.7,AI21labs,True,https://huggingface.co/ai21labs/AI21-Jamba-Mini-1.7,07/2025,52000000000.0,0.2,0.4,Jamba Mini 1.7,False,False
grok-beta,xAI,False,https://docs.x.ai/docs/models,11/2024,,5.0,15.0,Grok Beta,False,False
grok-2-1212,xAI,False,https://x.ai/blog/grok-1212,12/2024,,2.0,10.0,Grok-2,False,True
grok-2-vision-1212,xAI,False,https://docs.x.ai/docs/models/grok-2-vision-1212,12/2024,,2.0,10.0,Grok-2 Vision,False,True
grok-3-beta,xAI,False,https://docs.x.ai/docs/models/grok-3,02/2025,,3.0,15.0,Grok-3,True,True
grok-3-mini-beta,xAI,False,https://docs.x.ai/docs/models/grok-3-mini,02/2025,,0.3,0.5,Grok-3 Mini,True,True
grok-4,xAI,False,https://docs.x.ai/docs/models/grok-4-0709,07/2025,,3.0,15.0,Grok-4,True,True
grok-4-fast,xAI,False,https://docs.x.ai/docs/models/grok-4-fast-reasoning,09/2025,,0.20,0.50,Grok-4 Fast,True,True
grok-4.1-fast,xAI,False,https://docs.x.ai/docs/models/grok-4-1-fast-non-reasoning,11/2025,,0.20,0.50,Grok-4.1 Fast,False,True
fw-deepseek-v2p5,DeepSeek-AI,True,https://huggingface.co/deepseek-ai/DeepSeek-V2.5-1210,09/2024,236000000000.0,0.14,0.28,Deepseek V2.5,False,False
fw-deepseek-v3,DeepSeek-AI,True,https://huggingface.co/deepseek-ai/DeepSeek-V3,12/2024,671000000000.0,0.14,0.28,Deepseek V3,False,True
fw-deepseek-r1,DeepSeek-AI,True,https://huggingface.co/deepseek-ai/DeepSeek-R1,01/2025,671000000000.0,0.55,2.19,Deepseek R1,True,False
deepseek-v3-0324-fp8,DeepSeek-AI,True,https://huggingface.co/deepseek-ai/DeepSeek-V3-0324,03/2025,685000000000.0,0.27,1.1,Deepseek V3 0324,False,True
fw-deepseek-r1-0528,DeepSeek-AI,True,https://huggingface.co/deepseek-ai/DeepSeek-R1-0528,05/2025,671000000000.0,3.00,3.00,Deepseek R1 (May '25),True,False
